Time,emailservice,productcatalogservice,checkoutservice,shippingservice,currencyservice,cartservice,recommendationservice,adservice,frontend,paymentservice,Total
2020-11-07 22:07:04,,,,,,,,,,,0.0
2020-11-07 22:07:05,,,,,,,,,,,0.0
2020-11-07 22:07:06,,,,,,,,,,,0.0
2020-11-07 22:07:07,,,,,,,,,,,0.0
2020-11-07 22:07:08,,,,,,,,,,,0.0
2020-11-07 22:07:09,,,,,,,,,,,0.0
2020-11-07 22:07:10,,,,,,,,,,,0.0
2020-11-07 22:07:11,,,,,,,,,,,0.0
2020-11-07 22:07:12,,,,,,,,,,,0.0
2020-11-07 22:07:13,,,,,,,,,,,0.0
2020-11-07 22:07:14,,,,,,,,,,,0.0
2020-11-07 22:07:15,,,,,,,,,,,0.0
2020-11-07 22:07:16,,,,,,,,,,,0.0
2020-11-07 22:07:17,,,,,,,,,,,0.0
2020-11-07 22:07:18,,,,,,,,,,,0.0
2020-11-07 22:07:19,,,,,,,,,,,0.0
2020-11-07 22:07:20,,,,,,,,,,,0.0
2020-11-07 22:07:21,,,,,,,,,,,0.0
2020-11-07 22:07:22,,,,,,,,,,,0.0
2020-11-07 22:07:23,,,,,,,,,,,0.0
2020-11-07 22:07:24,,,,,,,,,,,0.0
2020-11-07 22:07:25,,,,,,,,,,,0.0
2020-11-07 22:07:26,,,,,,,,,,,0.0
2020-11-07 22:07:27,,,,,,,,,,,0.0
2020-11-07 22:07:28,,,,,,,,,,,0.0
2020-11-07 22:07:29,,,,,,,,,,,0.0
2020-11-07 22:07:30,,,,,,,,,,,0.0
2020-11-07 22:07:31,,,,,,,,,,,0.0
2020-11-07 22:07:32,,,,,,,,,,,0.0
2020-11-07 22:07:33,,,,,,,,,,,0.0
2020-11-07 22:07:34,,,,,,,,,,,0.0
2020-11-07 22:07:35,,,,,,,,,,,0.0
2020-11-07 22:07:36,,,,,,,,,,,0.0
2020-11-07 22:07:37,,,,,,,,,,,0.0
2020-11-07 22:07:38,,,,,,,,,,,0.0
2020-11-07 22:07:39,,,,,,,,,,,0.0
2020-11-07 22:07:40,,,,,,,,,,,0.0
2020-11-07 22:07:41,,,,,,,,,,,0.0
2020-11-07 22:07:42,,,,,,,,,,,0.0
2020-11-07 22:07:43,,,,,,,,,,,0.0
2020-11-07 22:07:44,,,,,,,,,,,0.0
2020-11-07 22:07:45,,,,,,,,,,,0.0
2020-11-07 22:07:46,,,,,,,,,,,0.0
2020-11-07 22:07:47,,,,,,,,,,,0.0
2020-11-07 22:07:48,,,,,,,,,,,0.0
2020-11-07 22:07:49,,,,,,,,,,,0.0
2020-11-07 22:07:50,,,,,,,,,,,0.0
2020-11-07 22:07:51,,,,,,,,,,,0.0
2020-11-07 22:07:52,,,,,,,,,,,0.0
2020-11-07 22:07:53,,,,,,,,,,,0.0
2020-11-07 22:07:54,,,,,,,,,,,0.0
2020-11-07 22:07:55,,,,,,,,,,,0.0
2020-11-07 22:07:56,,,,,,,,,,,0.0
2020-11-07 22:07:57,,,,,,,,,,,0.0
2020-11-07 22:07:58,,,,,,,,,,,0.0
2020-11-07 22:07:59,,,,,,,,,,,0.0
2020-11-07 22:08:00,,,,,,,,,,,0.0
2020-11-07 22:08:01,,,,,,,,,,,0.0
2020-11-07 22:08:02,,,,,,,,,,,0.0
2020-11-07 22:08:03,,,,,,,,,,,0.0
2020-11-07 22:08:04,,,,,,,,,,,0.0
2020-11-07 22:08:05,,,,,,,,,,,0.0
2020-11-07 22:08:06,,,,,,,,,,,0.0
2020-11-07 22:08:07,,,,,,,,,,,0.0
2020-11-07 22:08:08,,,,,,,,,,,0.0
2020-11-07 22:08:09,,,,,,,,,,,0.0
2020-11-07 22:08:10,,,,,,,,,,,0.0
2020-11-07 22:08:11,,,,,,,,,,,0.0
2020-11-07 22:08:12,,,,,,,,,,,0.0
2020-11-07 22:08:13,,,,,,,,,,,0.0
2020-11-07 22:08:14,,,,,,,,,,,0.0
2020-11-07 22:08:15,,,,,,,,,,,0.0
2020-11-07 22:08:16,,,,,,,,,,,0.0
2020-11-07 22:08:17,,,,,,,,,,,0.0
2020-11-07 22:08:18,,,,,,,,,,,0.0
2020-11-07 22:08:19,,,,,,,,,,,0.0
2020-11-07 22:08:20,,,,,,,,,,,0.0
2020-11-07 22:08:21,,,,,,,,,,,0.0
2020-11-07 22:08:22,,,,,,,,,,,0.0
2020-11-07 22:08:23,,,,,,,,,,,0.0
2020-11-07 22:08:24,,,,,,,,,,,0.0
2020-11-07 22:08:25,,,,,,,,,,,0.0
2020-11-07 22:08:26,,,,,,,,,,,0.0
2020-11-07 22:08:27,,,,,,,,,,,0.0
2020-11-07 22:08:28,,,,,,,,,,,0.0
2020-11-07 22:08:29,,,,,,,,,,,0.0
2020-11-07 22:08:30,,,,,,,,,,,0.0
2020-11-07 22:08:31,,,,,,,,,,,0.0
2020-11-07 22:08:32,,,,,,,,,,,0.0
2020-11-07 22:08:33,,,,,,,,,,,0.0
2020-11-07 22:08:34,,,,,,,,,,,0.0
2020-11-07 22:08:35,,,,,,,,,,,0.0
2020-11-07 22:08:36,,,,,,,,,,,0.0
2020-11-07 22:08:37,,,,,,,,,,,0.0
2020-11-07 22:08:38,,,,,,,,,,,0.0
2020-11-07 22:08:39,,,,,,,,,,,0.0
2020-11-07 22:08:40,,,,,,,,,,,0.0
2020-11-07 22:08:41,,,,,,,,,,,0.0
2020-11-07 22:08:42,,,,,,,,,,,0.0
2020-11-07 22:08:43,,,,,,,,,,,0.0
2020-11-07 22:08:44,,,,,,,,,,,0.0
2020-11-07 22:08:45,,,,,,,,,,,0.0
2020-11-07 22:08:46,,,,,,,,,,,0.0
2020-11-07 22:08:47,,,,,,,,,,,0.0
2020-11-07 22:08:48,,,,,,,,,,,0.0
2020-11-07 22:08:49,,,,,,,,,,,0.0
2020-11-07 22:08:50,,,,,,,,,,,0.0
2020-11-07 22:08:51,,,,,,,,,,,0.0
2020-11-07 22:08:52,,,,,,,,,,,0.0
2020-11-07 22:08:53,,,,,,,,,,,0.0
