Time,currencyservice,emailservice,checkoutservice,cartservice,recommendationservice,frontend,adservice,paymentservice,shippingservice,productcatalogservice,Total
2020-11-24 20:28:21,3.1106382978723413,3.0,175.0,7.803030303030303,16.25,79.6875,8.035714285714285,5.0,3.0,3.0370370370370368,303.92391992365395
2020-11-24 20:28:22,3.1106382978723413,3.0,175.0,7.803030303030303,16.25,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,303.5199764117968
2020-11-24 20:28:23,3.1106382978723413,3.0,175.0,7.803030303030303,16.25,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,303.5199764117968
2020-11-24 20:28:24,3.1106382978723413,3.6666666666666665,175.0,7.803030303030303,16.25,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,304.18664307846336
2020-11-24 20:28:25,3.1106382978723413,3.6666666666666665,175.0,7.803030303030303,16.25,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,304.18664307846336
2020-11-24 20:28:26,3.1106382978723413,3.6666666666666665,175.0,7.803030303030303,16.25,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,304.18664307846336
2020-11-24 20:28:27,3.1106382978723413,3.6666666666666665,175.0,7.803030303030303,16.25,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,304.18664307846336
2020-11-24 20:28:28,3.1106382978723413,3.6666666666666665,175.0,7.803030303030303,14.833333333333332,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,302.7699764117968
2020-11-24 20:28:29,3.1106382978723413,3.6666666666666665,175.0,7.803030303030303,14.833333333333332,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,302.7699764117968
2020-11-24 20:28:30,3.1106382978723413,3.6666666666666665,175.0,6.727272727272728,14.833333333333332,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,301.6942188360392
2020-11-24 20:28:31,3.1106382978723413,3.6666666666666665,175.0,6.727272727272728,14.833333333333332,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,301.6942188360392
2020-11-24 20:28:32,3.1106382978723413,3.6666666666666665,175.0,6.727272727272728,14.833333333333332,79.6875,8.035714285714285,5.0,3.0,2.633093525179856,301.6942188360392
