Time,paymentservice,shippingservice,recommendationservice,currencyservice,frontend,productcatalogservice,checkoutservice,emailservice,adservice,cartservice,Total
2020-11-09 21:20:19,3.0,2.5,14.038461538461537,2.9836065573770494,100.0,3.0,175.0,3.0,7.5,6.666666666666666,317.68873476250525
2020-11-09 21:20:20,3.0,2.5,14.038461538461537,2.9836065573770494,100.0,3.0,175.0,3.0,7.5,6.666666666666666,317.68873476250525
2020-11-09 21:20:21,3.0,2.5,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,3.0,7.5,6.666666666666666,287.9590050327755
2020-11-09 21:20:22,3.0,2.5,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,3.0,7.5,6.666666666666666,287.9590050327755
2020-11-09 21:20:23,3.0,2.5,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,3.0,7.5,6.666666666666666,287.9590050327755
2020-11-09 21:20:24,3.0,2.7333333333333334,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,3.0,6.666666666666666,6.666666666666666,287.3590050327756
2020-11-09 21:20:25,3.0,2.7333333333333334,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,3.0,6.666666666666666,6.666666666666666,287.3590050327756
2020-11-09 21:20:26,3.0,2.7333333333333334,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,5.0,6.666666666666666,6.666666666666666,289.3590050327756
2020-11-09 21:20:27,3.0,2.7333333333333334,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,5.0,6.666666666666666,7.272727272727272,289.9650656388361
2020-11-09 21:20:28,3.0,2.7333333333333334,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,5.0,6.666666666666666,7.272727272727272,289.9650656388361
2020-11-09 21:20:29,3.0,2.7333333333333334,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,5.0,6.666666666666666,7.272727272727272,289.9650656388361
2020-11-09 21:20:30,3.0,2.7333333333333334,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,5.0,6.666666666666666,7.272727272727272,289.9650656388361
2020-11-09 21:20:31,3.0,2.7333333333333334,14.038461538461537,2.9836065573770494,70.27027027027027,3.0,175.0,5.0,6.666666666666666,7.272727272727272,289.9650656388361
2020-11-09 21:20:32,3.0,2.7333333333333334,12.8125,2.8209876543209877,70.27027027027027,3.0,175.0,5.0,6.666666666666666,7.272727272727272,288.5764851973185
