Time,productcatalogservice,adservice,currencyservice,shippingservice,paymentservice,checkoutservice,cartservice,emailservice,frontend,recommendationservice,Total
2020-12-18 19:29:21,2.375,4.0,3.0,0.5,,,7.5,,50.0,25.0,92.375
2020-12-18 19:29:22,2.375,4.0,3.0,0.5,,,7.5,,50.0,5.0,72.375
2020-12-18 19:29:23,2.375,7.5,3.0,0.5,,,7.5,,50.0,5.0,75.875
2020-12-18 19:29:24,2.375,7.5,3.0,0.5,,,3.0,,50.0,5.0,71.375
2020-12-18 19:29:25,2.375,7.5,3.0,0.5,,,3.0,,50.0,5.0,71.375
2020-12-18 19:29:26,2.375,7.5,0.4166666666666666,0.5,,,3.0,,50.0,5.0,68.79166666666666
2020-12-18 19:29:27,2.0,7.5,0.4166666666666666,0.5,,,3.0,,50.0,5.0,68.41666666666666
2020-12-18 19:29:28,2.0,7.5,0.4166666666666666,0.5,,,3.0,,50.0,5.0,68.41666666666666
2020-12-18 19:29:29,2.0,7.5,0.4166666666666666,0.5,,,3.0,,50.0,5.0,68.41666666666666
2020-12-18 19:29:30,2.0,7.5,0.4166666666666666,0.25,,,3.0,,50.0,5.0,68.16666666666666
2020-12-18 19:29:31,2.0,7.5,0.4166666666666666,0.25,,,3.0,,50.0,5.0,68.16666666666666
2020-12-18 19:29:32,2.0,7.5,0.4166666666666666,0.25,,,3.0,,50.0,5.0,68.16666666666666
2020-12-18 19:29:33,2.0,7.5,0.4166666666666666,0.25,,,3.0,,75.0,5.0,93.16666666666669
2020-12-18 19:29:34,2.0,7.5,0.4166666666666666,0.25,,,3.0,,75.0,5.0,93.16666666666669
2020-12-18 19:29:35,2.0,7.5,0.4166666666666666,0.25,,,3.0,,75.0,5.0,93.16666666666669
2020-12-18 19:29:36,2.0,7.5,0.4166666666666666,0.25,,,3.0,,75.0,5.0,93.16666666666669
2020-12-18 19:29:37,2.0,7.5,0.4166666666666666,0.25,,,3.0,,75.0,6.666666666666668,94.83333333333334
2020-12-18 19:29:38,2.0,8.333333333333332,0.4166666666666666,0.25,,,3.0,,75.0,6.666666666666668,95.66666666666669
2020-12-18 19:29:39,2.0,8.333333333333332,0.4166666666666666,0.25,,,3.6666666666666665,,75.0,6.666666666666668,96.33333333333331
