Time,cartservice,recommendationservice,emailservice,shippingservice,frontend,productcatalogservice,adservice,checkoutservice,currencyservice,paymentservice,Total
2020-11-08 21:00:18,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,6.9642857142857135,175.0,2.6962025316455698,0.25,286.7494440115733
2020-11-08 21:00:19,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,6.9642857142857135,175.0,2.6962025316455698,0.25,286.7494440115733
2020-11-08 21:00:20,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,6.9642857142857135,175.0,2.6962025316455698,0.25,286.7494440115733
2020-11-08 21:00:21,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,6.9642857142857135,175.0,2.6962025316455698,0.25,286.7494440115733
2020-11-08 21:00:22,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,6.9642857142857135,175.0,2.6962025316455698,0.25,286.7494440115733
2020-11-08 21:00:23,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,6.9642857142857135,175.0,2.6962025316455698,0.25,286.7494440115733
2020-11-08 21:00:24,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,7.697368421052633,,2.6962025316455698,0.25,112.48252671834018
2020-11-08 21:00:25,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,7.697368421052633,,2.6962025316455698,0.25,112.48252671834018
2020-11-08 21:00:26,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,7.697368421052633,,2.6962025316455698,0.25,112.48252671834018
2020-11-08 21:00:27,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.702479338842976,7.697368421052633,,2.6962025316455698,0.25,112.48252671834018
2020-11-08 21:00:28,4.290322580645161,13.461538461538463,3.0,0.5,77.88461538461539,2.8269230769230766,7.697368421052633,,2.6962025316455698,0.25,112.60697045642029
2020-11-08 21:00:29,4.290322580645161,13.461538461538463,3.0,0.5,79.16666666666667,2.8269230769230766,7.697368421052633,,2.6962025316455698,,113.63902173847157
2020-11-08 21:00:30,4.290322580645161,13.461538461538463,3.0,0.5,79.16666666666667,2.8269230769230766,7.697368421052633,,2.993569131832797,,113.93638833865879
2020-11-08 21:00:31,4.466666666666667,13.461538461538463,,1.5714285714285712,79.16666666666667,2.8269230769230766,7.697368421052633,,2.993569131832797,,112.18416099610887
2020-11-08 21:00:32,4.466666666666667,13.461538461538463,,1.5714285714285712,79.16666666666667,2.8269230769230766,7.697368421052633,,2.993569131832797,,112.18416099610887
2020-11-08 21:00:33,4.466666666666667,14.0,,1.5714285714285712,79.16666666666667,2.8269230769230766,7.697368421052633,,2.993569131832797,,112.72262253457043
2020-11-08 21:00:34,4.466666666666667,14.0,,1.5714285714285712,79.16666666666667,2.8269230769230766,7.697368421052633,,2.993569131832797,,112.72262253457043
