Time,recommendationservice,currencyservice,productcatalogservice,checkoutservice,cartservice,adservice,emailservice,frontend,paymentservice,shippingservice,Total
2020-11-08 14:58:25,9.264705882352944,2.640449438202247,2.8996138996139,50.0,3.745098039215687,5.625,5.0,75.0,5.0,3.461538461538461,162.63640572092322
2020-11-08 14:58:26,9.264705882352944,2.640449438202247,2.8996138996139,50.0,3.745098039215687,5.625,5.0,75.0,5.0,3.461538461538461,162.63640572092322
2020-11-08 14:58:27,9.264705882352944,2.640449438202247,2.8996138996139,50.0,3.745098039215687,5.625,5.0,75.0,5.0,3.461538461538461,162.63640572092322
2020-11-08 14:58:28,9.264705882352944,2.640845070422535,2.8996138996139,50.0,3.745098039215687,5.625,5.0,75.0,5.0,3.461538461538461,162.6368013531435
2020-11-08 14:58:29,9.264705882352944,2.640845070422535,2.8996138996139,50.0,3.745098039215687,5.625,5.0,75.0,5.0,3.461538461538461,162.6368013531435
2020-11-08 14:58:30,9.264705882352944,2.640845070422535,2.8996138996139,175.0,3.745098039215687,5.625,5.0,71.5909090909091,5.0,3.461538461538461,284.2277104440526
2020-11-08 14:58:31,9.264705882352944,2.640845070422535,2.8996138996139,175.0,3.745098039215687,5.625,5.0,71.5909090909091,5.0,3.461538461538461,284.2277104440526
2020-11-08 14:58:32,9.264705882352944,2.640845070422535,2.8996138996139,175.0,3.745098039215687,5.625,5.0,71.5909090909091,5.0,3.461538461538461,284.2277104440526
2020-11-08 14:58:33,9.264705882352944,2.640845070422535,2.8996138996139,175.0,3.745098039215687,5.625,5.0,71.5909090909091,5.0,3.461538461538461,284.2277104440526
2020-11-08 14:58:34,9.264705882352944,2.640845070422535,2.8996138996139,175.0,3.745098039215687,4.8048780487804885,5.0,71.5909090909091,5.0,3.461538461538461,283.40758849283316
2020-11-08 14:58:35,9.264705882352944,2.640845070422535,2.8996138996139,175.0,3.745098039215687,4.8048780487804885,5.0,71.5909090909091,2.0,3.0,279.94605003129465
2020-11-08 14:58:36,9.264705882352944,2.640845070422535,2.8996138996139,175.0,3.745098039215687,4.8048780487804885,5.0,71.5909090909091,2.0,3.0,279.94605003129465
2020-11-08 14:58:37,9.264705882352944,2.640845070422535,2.8996138996139,175.0,3.745098039215687,4.8048780487804885,5.0,71.5909090909091,2.0,3.0,279.94605003129465
