Time,paymentservice,adservice,checkoutservice,recommendationservice,productcatalogservice,emailservice,shippingservice,frontend,cartservice,currencyservice,Total
2020-12-19 13:46:21,,5.0,,7.5,3.0,,3.0,75.0,3.0,3.4000000000000004,99.9
2020-12-19 13:46:22,,5.0,,7.5,3.0,,3.0,75.0,3.0,3.4000000000000004,99.9
2020-12-19 13:46:23,,5.0,,7.5,3.0,,3.0,75.0,3.0,3.4000000000000004,99.9
2020-12-19 13:46:24,,5.0,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,98.83333333333331
2020-12-19 13:46:25,,5.0,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,98.83333333333331
2020-12-19 13:46:26,,5.0,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,98.83333333333331
2020-12-19 13:46:27,,5.0,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,98.83333333333331
2020-12-19 13:46:28,,5.0,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,98.83333333333331
2020-12-19 13:46:29,,5.0,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,98.83333333333331
2020-12-19 13:46:30,,7.5,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,101.33333333333331
2020-12-19 13:46:31,,7.5,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,101.33333333333331
2020-12-19 13:46:32,,7.5,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,101.33333333333331
2020-12-19 13:46:33,,7.5,,7.5,3.0,,3.0,75.0,3.0,2.333333333333333,101.33333333333331
2020-12-19 13:46:34,,7.5,,7.5,3.0,,3.0,75.0,8.75,2.333333333333333,107.08333333333331
2020-12-19 13:46:35,,7.5,,7.5,3.0,,3.0,75.0,8.75,2.333333333333333,107.08333333333331
2020-12-19 13:46:36,,7.5,,7.5,3.0,,3.0,75.0,8.75,2.333333333333333,107.08333333333331
2020-12-19 13:46:37,,7.5,,7.5,3.0,,3.0,75.0,8.75,2.333333333333333,107.08333333333331
2020-12-19 13:46:38,,7.5,,7.5,3.0,,3.0,75.0,8.75,2.333333333333333,107.08333333333331
2020-12-19 13:46:39,,7.5,,7.5,3.0,,3.0,75.0,8.75,3.1818181818181817,107.9318181818182
2020-12-19 13:46:40,,7.5,,7.5,3.0,,3.0,75.0,8.75,3.1818181818181817,107.9318181818182
2020-12-19 13:46:41,,7.5,,7.5,3.0,,3.0,75.0,8.75,3.1818181818181817,107.9318181818182
2020-12-19 13:46:42,,7.5,,7.5,3.0,,3.0,75.0,8.75,3.1818181818181817,107.9318181818182
2020-12-19 13:46:43,,7.5,,7.5,3.0,,3.0,75.0,8.75,3.1818181818181817,107.9318181818182
2020-12-19 13:46:44,,7.5,,7.5,3.0,,3.0,75.0,8.75,3.1818181818181817,107.9318181818182
2020-12-19 13:46:45,3.0,7.5,,7.5,3.0,,3.0,75.0,8.75,3.1818181818181817,110.9318181818182
2020-12-19 13:46:46,3.0,7.5,,8.0,3.0,3.0,3.0,75.0,8.75,3.1818181818181817,114.4318181818182
2020-12-19 13:46:47,3.0,7.5,,8.0,3.0,3.0,3.0,75.0,8.75,3.1818181818181817,114.4318181818182
2020-12-19 13:46:48,3.0,7.5,,8.0,3.0,3.0,3.0,75.0,8.75,3.1818181818181817,114.4318181818182
