Time,productcatalogservice
2019-10-02 09:42:00,36.14663340982197
2019-10-02 09:43:00,38.67783581824335
2019-10-02 09:44:00,43.17990410715918
2019-10-02 09:45:00,77.58304075210425
2019-10-02 09:46:00,76.43953113441943
2019-10-02 09:47:00,76.2396455605607
2019-10-02 09:48:00,75.0996865466761
2019-10-02 09:49:00,75.44553931030867
2019-10-02 09:50:00,66.78719966662524
2019-10-02 09:51:00,53.97300016533137
2019-10-02 09:52:00,45.066911932942546
2019-10-02 09:53:00,36.58098172804341
2019-10-02 09:54:00,28.409285897013223
2019-10-02 09:55:00,41.626406005087745
2019-10-02 09:56:00,49.05178005292385
2019-10-02 09:57:00,57.54769682442458
2019-10-02 09:58:00,66.66301947396943
2019-10-02 09:59:00,71.89490151009507
2019-10-02 10:00:00,73.83966905681451
2019-10-02 10:01:00,76.19512469020812
2019-10-02 10:02:00,77.10720099342159
2019-10-02 10:03:00,76.19979447160345
2019-10-02 10:04:00,76.13846975039577
2019-10-02 10:05:00,76.94515300544717
2019-10-02 10:06:00,76.81457173910995
2019-10-02 10:07:00,76.76624144417245
2019-10-02 10:08:00,75.94366695705679
2019-10-02 10:09:00,75.55415277840169
2019-10-02 10:10:00,75.07009750797113
2019-10-02 10:11:00,75.35061071313223
2019-10-02 10:12:00,74.84923322058887
2019-10-02 10:13:00,73.98638163756044
2019-10-02 10:14:00,72.9278156495767
2019-10-02 10:15:00,73.40883925211078
2019-10-02 10:16:00,73.87631530167357
2019-10-02 10:17:00,74.89685590670005
2019-10-02 10:18:00,76.28809716673838
2019-10-02 10:19:00,77.51044656003425
2019-10-02 10:20:00,79.05130784103426
2019-10-02 10:21:00,79.94704128564045
2019-10-02 10:22:00,80.016092895834
2019-10-02 10:23:00,81.05343402369121
2019-10-02 10:24:00,80.49885621698282
2019-10-02 10:25:00,79.47430167245768
2019-10-02 10:26:00,72.9450157119599
2019-10-02 10:27:00,59.590760483521
2019-10-02 10:28:00,43.97162049918592
2019-10-02 10:29:00,31.529835612526472
2019-10-02 10:30:00,15.46297085278119
2019-10-02 10:31:00,15.590202359903493
2019-10-02 10:32:00,15.681300152896503
2019-10-02 10:33:00,15.344914947700152
2019-10-02 10:34:00,14.742630215829292
2019-10-02 10:35:00,14.353981311355689
2019-10-02 10:36:00,14.883152244612026
2019-10-02 10:37:00,15.209644021756006
2019-10-02 10:38:00,8.231885828363584
2019-10-02 10:39:00,9.826205529534658
2019-10-02 10:40:00,10.999395534113267
2019-10-02 10:41:00,11.76804551351002
2019-10-02 10:42:00,12.638202960464923
2019-10-02 10:43:00,18.861294527329466
2019-10-02 10:44:00,29.890202006876443
2019-10-02 10:45:00,39.34832206285388
2019-10-02 10:46:00,50.24656576049958
2019-10-02 10:47:00,59.81136309898227
2019-10-02 10:48:00,62.68635047327978
2019-10-02 10:49:00,63.01009962897378
2019-10-02 10:50:00,63.30120068038138
2019-10-02 10:51:00,63.361817182798724
2019-10-02 10:52:00,61.331057582001584
2019-10-02 10:53:00,57.878156322568586
2019-10-02 10:54:00,54.341555311227424
2019-10-02 10:55:00,51.41678080515529
2019-10-02 10:56:00,48.26617695089027
2019-10-02 10:57:00,50.84260652971413
2019-10-02 10:58:00,50.76589825195163
2019-10-02 10:59:00,50.60578236141488
2019-10-02 11:00:00,50.64472988346794
2019-10-02 11:01:00,49.834454692286634
