Time,adservice
2019-10-02 10:37:00,40.6023268705831
2019-10-02 10:38:00,40.9662315150955
2019-10-02 10:39:00,41.2503068084994
2019-10-02 10:40:00,40.8462203675304
2019-10-02 10:41:00,40.2078914461927
2019-10-02 10:42:00,39.1615157257852
2019-10-02 10:43:00,41.1409045040818
2019-10-02 10:44:00,44.7432346626413
2019-10-02 10:45:00,49.621348042173
2019-10-02 10:46:00,52.6797037782038
2019-10-02 10:47:00,56.6734497504841
2019-10-02 10:48:00,57.5914056543525
2019-10-02 10:49:00,56.910293286702
2019-10-02 10:50:00,56.4798602215038
2019-10-02 10:51:00,56.7723087129824
2019-10-02 10:52:00,56.1441270866093
2019-10-02 10:53:00,55.1729072207607
2019-10-02 10:54:00,54.0026017015203
2019-10-02 10:55:00,52.624383618268
2019-10-02 10:56:00,51.1437974754153
2019-10-02 10:57:00,51.1065295685984
2019-10-02 10:58:00,50.8706966634995
2019-10-02 10:59:00,50.8512009472099
2019-10-02 11:00:00,50.9320236302393
2019-10-02 11:01:00,50.9164402386103
2019-10-02 11:02:00,50.8775532883357
2019-10-02 11:03:00,50.3070996894664
2019-10-02 11:04:00,50.2358148958736
2019-10-02 11:05:00,49.952865333558
2019-10-02 11:06:00,50.3939757076863
2019-10-02 11:07:00,51.0878170766858
2019-10-02 11:08:00,51.1913806149786
2019-10-02 11:09:00,51.2153910237941
2019-10-02 11:10:00,50.6763607860972
2019-10-02 11:11:00,50.737303641471
2019-10-02 11:12:00,50.6147694886731
2019-10-02 11:13:00,50.5897032015195
2019-10-02 11:14:00,50.6135323313026
2019-10-02 11:15:00,50.5842978072968
2019-10-02 11:16:00,51.1418046565409
2019-10-02 11:17:00,51.2108063596035
2019-10-02 11:18:00,51.0461700824452
2019-10-02 11:19:00,51.4021972883589
2019-10-02 11:20:00,51.3083292237431
2019-10-02 11:21:00,51.1006399723928
2019-10-02 11:22:00,50.781629982138
2019-10-02 11:23:00,50.3386773854713
2019-10-02 11:24:00,50.0766348682173
2019-10-02 11:25:00,50.4938253145499
2019-10-02 11:26:00,51.4519139220671
2019-10-02 11:27:00,52.1019898381212
