Time,emailservice
2019-10-02 10:37:00,12.3848337808519
2019-10-02 10:38:00,12.3888555559133
2019-10-02 10:39:00,12.8086183669812
2019-10-02 10:40:00,12.8389429202597
2019-10-02 10:41:00,12.2394250121024
2019-10-02 10:42:00,11.8069866560656
2019-10-02 10:43:00,12.3014460422707
2019-10-02 10:44:00,13.4212963948544
2019-10-02 10:45:00,15.2343014676392
2019-10-02 10:46:00,16.9475798405693
2019-10-02 10:47:00,18.1726353775248
2019-10-02 10:48:00,18.2340304954813
2019-10-02 10:49:00,18.0487116601086
2019-10-02 10:50:00,17.3999015630878
2019-10-02 10:51:00,17.7282591927602
2019-10-02 10:52:00,17.7321466395243
2019-10-02 10:53:00,16.4908093465314
2019-10-02 10:54:00,16.1287910567341
2019-10-02 10:55:00,15.9091429959098
2019-10-02 10:56:00,14.7577784438105
2019-10-02 10:57:00,15.6119986575995
2019-10-02 10:58:00,14.9571469671299
2019-10-02 10:59:00,13.9457531663353
2019-10-02 11:00:00,13.1758184939036
2019-10-02 11:01:00,13.1617897421612
2019-10-02 11:02:00,13.2803247128277
2019-10-02 11:03:00,13.7183662998295
2019-10-02 11:04:00,13.6464875534149
2019-10-02 11:05:00,15.2080139905414
2019-10-02 11:06:00,15.4709742660078
2019-10-02 11:07:00,14.4255788771081
2019-10-02 11:08:00,14.4967512076944
2019-10-02 11:09:00,14.1634521666877
2019-10-02 11:10:00,14.6280750261148
2019-10-02 11:11:00,15.0970584289707
2019-10-02 11:12:00,15.4178448202989
2019-10-02 11:13:00,15.3455296822022
2019-10-02 11:14:00,14.7774318800823
2019-10-02 11:15:00,13.6647561074657
2019-10-02 11:16:00,13.6615500224831
2019-10-02 11:17:00,14.2875266384779
2019-10-02 11:18:00,14.3374246917099
2019-10-02 11:19:00,14.8353046389751
2019-10-02 11:20:00,14.6498052463208
2019-10-02 11:21:00,14.5177478538045
2019-10-02 11:22:00,14.3841640338525
2019-10-02 11:23:00,13.5234509905719
2019-10-02 11:24:00,13.9185213750457
2019-10-02 11:25:00,14.2341334441776
2019-10-02 11:26:00,13.2643848878393
2019-10-02 11:27:00,14.5269682530027
2019-10-02 11:28:00,14.7855458330094
2019-10-02 11:29:00,14.1633039538198
2019-10-02 11:30:00,14.4137418814144
2019-10-02 11:31:00,14.3226578284085
2019-10-02 11:32:00,13.6399335851334
2019-10-02 11:33:00,13.2383895136581
2019-10-02 11:34:00,14.224310219799
2019-10-02 11:35:00,14.5782118918648
2019-10-02 11:36:00,15.3223962873811
2019-10-02 11:37:00,15.8723346431107
2019-10-02 11:38:00,16.2414489958903
2019-10-02 11:39:00,16.8117562229702
2019-10-02 11:40:00,17.4131138591839
2019-10-02 11:41:00,17.6543600499941
2019-10-02 11:42:00,17.8819978987712
2019-10-02 11:43:00,17.2773050579162
2019-10-02 11:44:00,16.4941241926937
2019-10-02 11:45:00,14.9002780768231
2019-10-02 11:46:00,15.6103894136546
2019-10-02 11:47:00,15.622805442217
2019-10-02 11:48:00,16.3470662412183
2019-10-02 11:49:00,16.8928258869263
