Time,frontend
2019-10-02 10:37:00,14.8998158116421
2019-10-02 10:38:00,16.9448041163838
2019-10-02 10:39:00,27.0642493889861
2019-10-02 10:40:00,35.932530495808
2019-10-02 10:41:00,45.4037005804197
2019-10-02 10:42:00,50.3146236116881
2019-10-02 10:43:00,57.632853713063
2019-10-02 10:44:00,66.4679452753213
2019-10-02 10:45:00,75.1290430667002
2019-10-02 10:46:00,66.896436585341
2019-10-02 10:47:00,68.7913248201341
2019-10-02 10:48:00,72.2193712124487
2019-10-02 10:49:00,73.0082936848985
2019-10-02 10:50:00,74.7282818262237
2019-10-02 10:51:00,94.2882384102286
2019-10-02 10:52:00,95.8938188421319
2019-10-02 10:53:00,91.1937177978124
2019-10-02 10:54:00,85.4304853745177
2019-10-02 10:55:00,80.5244739262781
2019-10-02 10:56:00,69.1125222069443
2019-10-02 10:57:00,64.7319976084147
2019-10-02 10:58:00,64.0787078656918
2019-10-02 10:59:00,63.4589371858498
2019-10-02 11:00:00,66.4229255860423
2019-10-02 11:01:00,67.5199329594788
2019-10-02 11:02:00,70.0826563401426
2019-10-02 11:03:00,70.5180176922471
2019-10-02 11:04:00,69.524647164563
2019-10-02 11:05:00,72.9739609309917
2019-10-02 11:06:00,70.3360953477253
2019-10-02 11:07:00,71.0700401141152
2019-10-02 11:08:00,70.7779009451085
2019-10-02 11:09:00,70.3629705026256
2019-10-02 11:10:00,72.8889879035879
2019-10-02 11:11:00,75.5138115464335
2019-10-02 11:12:00,75.3781415786234
2019-10-02 11:13:00,75.9747393607878
2019-10-02 11:14:00,76.3304869099727
2019-10-02 11:15:00,74.2968882138198
2019-10-02 11:16:00,71.7445281150855
2019-10-02 11:17:00,74.3031058094515
2019-10-02 11:18:00,72.903027634201
2019-10-02 11:19:00,76.1644465418566
2019-10-02 11:20:00,80.906378875706
2019-10-02 11:21:00,83.6202176838771
2019-10-02 11:22:00,83.8780519957635
2019-10-02 11:23:00,79.6677444296694
2019-10-02 11:24:00,80.9947440447036
2019-10-02 11:25:00,80.01366769582
2019-10-02 11:26:00,74.6744400571506
2019-10-02 11:27:00,80.3453799784609
2019-10-02 11:28:00,72.0088022259322
2019-10-02 11:29:00,67.468450477585
2019-10-02 11:30:00,75.0141314535018
2019-10-02 11:31:00,80.8319271201951
2019-10-02 11:32:00,83.8087644488458
2019-10-02 11:33:00,83.1548296281917
2019-10-02 11:34:00,83.5097628066758
2019-10-02 11:35:00,73.297415601152
2019-10-02 11:36:00,58.621341009675
2019-10-02 11:37:00,53.1155793901923
2019-10-02 11:38:00,54.8466594646707
2019-10-02 11:39:00,55.0030327495255
2019-10-02 11:40:00,55.6844918464351
2019-10-02 11:41:00,62.6780196771919
2019-10-02 11:42:00,63.545054365414
2019-10-02 11:43:00,62.2183110134799
2019-10-02 11:44:00,62.8004531072163
2019-10-02 11:45:00,64.646400437821
2019-10-02 11:46:00,60.4048177053877
2019-10-02 11:47:00,56.9935317879763
2019-10-02 11:48:00,57.815468556197
2019-10-02 11:49:00,59.712672294231
2019-10-02 11:50:00,62.5062472608415
2019-10-02 11:51:00,69.9255116111114
2019-10-02 11:52:00,71.7763634222194
2019-10-02 11:53:00,68.927953286373
2019-10-02 11:54:00,68.0114160798594
2019-10-02 11:55:00,68.4189620509931
2019-10-02 11:56:00,63.318608563951
2019-10-02 11:57:00,61.4540483522898
2019-10-02 11:58:00,61.2986858994377
