Time,adservice,recommendationservice,paymentservice,shippingservice,checkoutservice,productcatalogservice,emailservice,cartservice,frontend,currencyservice,Total
2020-11-18 07:38:19,5.625,11.5,3.0,0.25,175.0,1.740740740740741,7.5,4.2631578947368425,67.70833333333333,2.6888888888888887,279.2761208576997
2020-11-18 07:38:20,5.625,11.5,3.0,0.25,175.0,1.740740740740741,7.5,4.2631578947368425,67.70833333333333,2.6888888888888887,279.2761208576997
2020-11-18 07:38:21,5.625,11.5,3.0,0.25,175.0,1.740740740740741,7.5,4.2631578947368425,67.70833333333333,2.6888888888888887,279.2761208576997
2020-11-18 07:38:22,6.1,11.5,3.0,0.25,175.0,1.740740740740741,7.5,4.2631578947368425,67.70833333333333,2.73728813559322,279.79952010440417
2020-11-18 07:38:23,6.1,11.5,3.0,0.25,175.0,1.740740740740741,7.5,4.2631578947368425,67.70833333333333,2.73728813559322,279.79952010440417
2020-11-18 07:38:24,6.1,11.5,3.0,0.25,175.0,1.9830508474576267,7.5,4.2631578947368425,67.70833333333333,2.73728813559322,280.0418302111211
2020-11-18 07:38:25,6.1,11.5,3.0,0.425,175.0,1.9830508474576267,7.5,4.2631578947368425,67.70833333333333,2.73728813559322,280.2168302111211
2020-11-18 07:38:26,6.1,11.5,3.0,0.425,175.0,1.9830508474576267,7.5,5.064102564102566,67.70833333333333,2.73728813559322,281.0177748804868
2020-11-18 07:38:27,6.1,11.5,3.0,0.425,175.0,1.9830508474576267,7.5,5.064102564102566,67.70833333333333,2.73728813559322,281.0177748804868
2020-11-18 07:38:28,6.1,11.5,3.0,0.425,175.0,1.9830508474576267,7.5,5.064102564102566,67.70833333333333,2.73728813559322,281.0177748804868
2020-11-18 07:38:29,6.1,11.5,3.0,0.425,175.0,1.9830508474576267,7.5,5.064102564102566,67.70833333333333,2.73728813559322,281.0177748804868
2020-11-18 07:38:30,6.1,12.785714285714285,3.0,0.425,175.0,1.9830508474576267,7.5,5.064102564102566,67.70833333333333,2.73728813559322,282.30348916620113
2020-11-18 07:38:31,6.1,12.785714285714285,3.0,0.425,175.0,1.9830508474576267,7.5,5.064102564102566,67.70833333333333,2.73728813559322,282.30348916620113
2020-11-18 07:38:32,6.1,12.785714285714285,3.0,0.425,137.5,1.9830508474576267,7.5,5.064102564102566,67.70833333333333,2.73728813559322,244.80348916620102
2020-11-18 07:38:33,6.1,12.785714285714285,3.0,0.425,137.5,1.9830508474576267,3.0,5.064102564102566,67.70833333333333,2.73728813559322,240.30348916620102
2020-11-18 07:38:34,6.1,12.785714285714285,3.0,0.425,137.5,1.9830508474576267,3.0,5.064102564102566,76.31578947368422,2.73728813559322,248.9109453065519
2020-11-18 07:38:35,6.1,12.785714285714285,3.0,0.425,137.5,1.9830508474576267,3.0,5.064102564102566,76.31578947368422,2.73728813559322,248.9109453065519
2020-11-18 07:38:36,6.1,12.785714285714285,3.0,0.425,137.5,1.9830508474576267,3.0,5.064102564102566,76.31578947368422,2.73728813559322,248.9109453065519
2020-11-18 07:38:37,5.394736842105262,12.785714285714285,3.0,0.425,137.5,1.9830508474576267,3.0,5.064102564102566,76.31578947368422,2.9378881987577636,248.40628221182172
2020-11-18 07:38:38,5.394736842105262,12.785714285714285,3.0,0.425,137.5,1.9830508474576267,3.0,5.064102564102566,76.31578947368422,2.9378881987577636,248.40628221182172
