Time,recommendationservice,paymentservice,cartservice,currencyservice,adservice,shippingservice,emailservice,frontend,productcatalogservice,checkoutservice,Total
2020-12-15 07:30:21,8.75,,4.333333333333333,2.8571428571428568,7.5,3.0,,75.0,2.125,,103.5654761904762
2020-12-15 07:30:22,8.75,,4.333333333333333,2.8571428571428568,7.5,3.0,,75.0,2.125,,103.5654761904762
2020-12-15 07:30:23,8.75,,4.333333333333333,2.8571428571428568,7.5,3.0,,75.0,2.125,,103.5654761904762
2020-12-15 07:30:24,8.75,,4.333333333333333,2.8571428571428568,7.5,3.0,,75.0,2.125,,103.5654761904762
2020-12-15 07:30:25,8.75,,4.333333333333333,2.8571428571428568,7.5,3.0,,75.0,2.125,,103.5654761904762
2020-12-15 07:30:26,8.75,,6.25,2.8571428571428568,7.5,3.0,,75.0,2.125,,105.48214285714286
2020-12-15 07:30:27,8.75,,6.25,2.8571428571428568,7.5,3.0,,75.0,2.125,,105.48214285714286
2020-12-15 07:30:28,8.75,,6.25,2.8571428571428568,7.5,3.0,3.0,75.0,2.583333333333334,,108.9404761904762
2020-12-15 07:30:29,8.75,,6.25,2.8571428571428568,7.5,3.0,3.0,75.0,2.583333333333334,,108.9404761904762
2020-12-15 07:30:30,8.75,,6.25,2.8181818181818183,7.5,3.0,3.0,75.0,2.583333333333334,,108.90151515151514
2020-12-15 07:30:31,8.75,,6.25,2.8181818181818183,7.5,3.0,3.0,75.0,2.583333333333334,,108.90151515151514
2020-12-15 07:30:32,8.75,,6.25,2.8181818181818183,7.5,3.0,3.0,75.0,2.583333333333334,,108.90151515151514
2020-12-15 07:30:33,7.5,,6.25,2.8181818181818183,7.5,3.0,3.0,75.0,2.583333333333334,,107.65151515151514
2020-12-15 07:30:34,7.5,,6.25,2.8181818181818183,7.5,3.0,3.0,75.0,2.583333333333334,,107.65151515151514
2020-12-15 07:30:35,7.5,3.0,6.25,2.8181818181818183,7.5,3.0,3.0,75.0,2.583333333333334,175.0,285.6515151515151
2020-12-15 07:30:36,7.5,3.0,6.25,2.8181818181818183,6.25,3.0,3.0,75.0,2.583333333333334,175.0,284.4015151515151
2020-12-15 07:30:37,7.5,3.0,6.25,2.8181818181818183,6.25,3.0,3.0,75.0,2.583333333333334,175.0,284.4015151515151
2020-12-15 07:30:38,7.5,3.0,6.25,2.8181818181818183,6.25,3.0,3.0,75.0,2.583333333333334,175.0,284.4015151515151
2020-12-15 07:30:39,7.5,3.0,6.25,2.8181818181818183,6.25,3.0,3.0,75.0,2.583333333333334,175.0,284.4015151515151
2020-12-15 07:30:40,7.5,3.0,6.25,2.8181818181818183,6.25,3.0,3.0,75.0,2.583333333333334,175.0,284.4015151515151
2020-12-15 07:30:41,7.5,3.0,5.0,2.8181818181818183,6.25,3.0,3.0,75.0,2.583333333333334,175.0,283.1515151515151
2020-12-15 07:30:42,7.5,3.0,5.0,2.8181818181818183,6.25,3.0,3.0,75.0,2.583333333333334,175.0,283.1515151515151
2020-12-15 07:30:43,7.5,3.0,5.0,2.8181818181818183,6.25,3.0,,75.0,1.8571428571428568,175.0,279.42532467532465
2020-12-15 07:30:44,7.5,3.0,5.0,2.8181818181818183,6.25,3.0,,75.0,1.8571428571428568,175.0,279.42532467532465
